SymbolId,CurrentTime,Index,CountryCode,Datasource,PrimaryKey,SecondaryKey,PositionType
BBAI,07/17/2025 09:37:56,0,US,GpUp,None,None,Long
BBAI,07/17/2025 09:37:56,0,US,GpUp,None,None,Short
