SymbolId,CurrentTime,Index,CountryCode,Datasource,PrimaryKey,SecondaryKey,PositionType
AAL,07/17/2025 08:59:27,0,US,GpUp,None,None,Long
AAL,07/17/2025 08:59:27,0,US,GpUp,None,None,Short
