SymbolId,CurrentTime,Index,CountryCode,Datasource,PrimaryKey,SecondaryKey,PositionType
QBTS,07/17/2025 09:13:31,0,US,GpUp,None,None,Long
QBTS,07/17/2025 09:13:31,0,US,GpUp,None,None,Short
